address,station_id,latitude,longitude,name,cluster
Blessington Street,2,53.35677,-6.26814,BLESSINGTON STREET,5
Bolton Street,3,53.351181,-6.269859,BOLTON STREET,1
Greek Street,4,53.346874,-6.272976,GREEK STREET,1
Charlemont Street,5,53.330662,-6.260177,CHARLEMONT PLACE,4
Christchurch Place,6,53.343369,-6.27012,CHRISTCHURCH PLACE,7
High Street,7,53.343567,-6.275071,HIGH STREET,7
Custom House Quay,8,53.347885,-6.248048,CUSTOM HOUSE QUAY,0
Exchequer Street,9,53.343033,-6.263578,EXCHEQUER STREET,7
Dame Street,10,53.344006,-6.266802,DAME STREET,7
Earlsfort Terrace,11,53.334019,-6.258371,EARLSFORT TERRACE,4
Eccles Street,12,53.359245,-6.269779,ECCLES STREET,5
Fitzwilliam Square West,13,53.336075,-6.252825,FITZWILLIAM SQUARE WEST,2
Hardwicke Street,15,53.355473,-6.264423,HARDWICKE STREET,6
Georges Quay,16,53.347507,-6.252192,GEORGES QUAY,0
Golden Lane,17,53.340801,-6.267732,GOLDEN LANE,7
Grantham Street,18,53.334122,-6.265436,GRANTHAM STREET,4
Herbert Place,19,53.334431,-6.245575,HERBERT PLACE,2
Leinster Street South,21,53.342178,-6.254485,LEINSTER STREET SOUTH,2
Townsend Street,22,53.345921,-6.254614,TOWNSEND STREET,0
Custom House,23,53.348278,-6.254662,CUSTOM HOUSE,0
Cathal Brugha Street,24,53.35215,-6.260533,CATHAL BRUGHA STREET,6
Merrion Square East,25,53.339436,-6.246548,MERRION SQUARE EAST,2
Merrion Square West,26,53.339764,-6.251988,MERRION SQUARE WEST,2
Molesworth Street,27,53.34129,-6.258117,MOLESWORTH STREET,2
Mountjoy Square West,28,53.3563,-6.258586,MOUNTJOY SQUARE WEST,6
Ormond Quay Upper,29,53.346058,-6.268001,ORMOND QUAY UPPER,7
Parnell Square North,30,53.353462,-6.265305,PARNELL SQUARE NORTH,6
Parnell Street,31,53.350929,-6.265125,PARNELL STREET,1
Pearse Street,32,53.344303,-6.250427,PEARSE STREET,0
Princes Street / O'Connell Street,33,53.349014,-6.260311,PRINCES STREET / O'CONNELL STREET,0
Portobello Harbour,34,53.33036,-6.265163,PORTOBELLO HARBOUR,4
St. Stephen's Green East,36,53.337826,-6.256035,ST. STEPHEN'S GREEN EAST,2
St. Stephen's Green South,37,53.337494,-6.26199,ST. STEPHEN'S GREEN SOUTH,4
Talbot Street,38,53.350975,-6.25294,TALBOT STREET,0
