cluster,rf_mae,rf_mse,rf_rmse,rf_r2,rf_accuracy,station_list
0,0.5351404094120348,3.145954417163064,1.7736838549084963,0.9554693000338876,0.7584953121997601,"id: 75,76,80,86,87,92,93,94,95,100"
1,0.6299175622420587,3.028126066674252,1.7401511620184758,0.9309552918795698,0.7008078279667767,"id: 6,7,9,10,17,27,51,52,71,72,73,98"
2,0.5073507184318468,2.8185907587006382,1.6788659144495839,0.9589218751164584,0.7635123704506943,"id: 74,75,76,86,87,92,93,94,100"
3,0.7315323025952513,4.339969630038651,2.0832593765632383,0.946665829889729,0.6795969077857538,"id: 49,65,66,67,68,69,90,91,117"
4,0.6635711138398499,3.639104168483962,1.907643616738714,0.9300803814541374,0.7045379820305843,"id: 8,16,21,22,23,32,33,48,62,64,99"
5,0.48694449348437197,2.3101679493571674,1.5199236656349449,0.9447049147926676,0.759398044050573,"id: 13,19,25,26,36,47,56,57,58,63,89,113,114"
6,0.7550614005974112,3.5899620164472474,1.8947195086469253,0.9469206546360612,0.6433872970215486,"id: 3,4,29,31,40,42,50,77,88,101"
7,0.5816467211990219,3.0901020851091583,1.7578686199796498,0.9390748894687826,0.7371493987121848,"id: 5,11,18,34,37,39,41,43,53,54,55"
8,0.5215327346357732,2.7317427379937604,1.652798456555959,0.957595127462626,0.7497524560663331,"id: 80,81,82,83,84,85,95,96,97"
9,0.4981681434497006,2.6320179473522813,1.6223495145474298,0.9605416120108845,0.7589050823931955,"id: 80,81,82,83,84,85,96,97"
