Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Dublin Hill, Thurles, Ireland",06/22/2021 00:00:00,9,9,9,8.6,,0,,,3.3,345,5.5,8.6,5.5,78.08,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 00:05:00,9.2,9.2,9.2,,,0,,,2.5,353,5.2,,,76.3,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 00:10:00,8.8,8.8,8.8,,,0,,,2,345,4.7,,,77.1,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 00:15:00,8.8,8.8,8.8,,,0,,,1.8,335,5.4,,,77.1,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 00:20:00,8.7,8.7,8.7,,,0,,,2.3,331,5.7,,,77.16,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 00:25:00,8.7,8.7,8.7,,,0,,,2.7,358,4.8,,,77.61,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 00:30:00,8.7,8.7,8.7,,,0,,,1.8,356,5.6,6.2,25,77.95,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 00:35:00,8.5,8.5,8.5,,,0,,,2.5,355,6.2,,,78.56,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 00:40:00,8.5,8.5,8.5,,,0,,,2.2,359,6.4,,,78.62,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 00:45:00,8.5,8.5,8.5,,,0,,,2.4,344,5.3,,,78.35,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 00:50:00,8.4,8.4,8.4,,,0,,,2.5,346,5.7,,,78.61,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 00:55:00,8.4,8.4,8.4,,,0,,,2.1,347,4.6,,,78.6,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 01:00:00,8.1,8.1,8.1,,,0,,,2.2,338,4.4,6.7,5.5,80.14,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 01:05:00,8.5,8.5,8.5,,,0,,,2.5,337,5.6,,,78.19,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 01:10:00,8.4,8.4,8.4,,,0,,,2.5,343,5.7,,,78.71,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 01:15:00,7.9,7.9,7.9,,,0,,,2.1,341,5.3,,,78.82,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 01:20:00,7.9,7.9,7.9,,,0,,,1.6,344,4.1,,,79.24,Clear
"Dublin Hill, Thurles, Ireland",06/22/2021 01:25:00,7.9,7.9,7.9,,,0,,,1.7,336,5,,,79.42,Clear
