cluster,rf_mae,rf_mse,rf_rmse,rf_r2,rf_accuracy,station_list
0,0.666274814394973,3.6529098529854247,1.9112587090672533,0.9402792903162002,0.7070204532891099,"id: 5,11,18,34,41,43,55"
1,0.5503740593252722,2.5156808069197027,1.5860897852642841,0.9424179380307595,0.7264329993273564,"id: 2,12,15,44,59,61,78,79"
2,0.5049152557249563,2.615174974326566,1.6171502633727535,0.9551832116642613,0.7489313707419403,"id: 75,76,80,81,82,95"
3,0.6251682507275429,3.194384644831461,1.787284153354318,0.9342012983469007,0.7183225556822438,"id: 9,21,26,27,32,98"
4,0.46635171173276685,1.983802913889596,1.4084753863272146,0.943487826350841,0.7596562762143642,"id: 13,19,39,47,89,114"
5,0.5232844966695812,2.5938808442273924,1.610552962254701,0.9563491429873816,0.7370355363147156,"id: 8,48,49,62,64,65,99"
6,0.682312075849537,3.003127433650197,1.7329533847308753,0.9298879930297987,0.6689308627019543,"id: 4,10,29,40"
7,0.3100215338744409,1.4633344376345867,1.2096836105505384,0.9598058946320175,0.838930760311413,"id: 102,103,104,105,110,116"
8,0.43590032366896647,2.633891715347589,1.6229268977213942,0.9732257409113962,0.8087708903589739,"id: 86,92,93,94,100"
9,0.4054573780036823,1.6256440115190331,1.2750074554758624,0.9593361403179317,0.7783372936566636,"id: 17,36,37,51,52,53,54,71"
10,0.7815792324330746,4.758209080394302,2.1813319509864386,0.9478826779957467,0.6658326839683133,"id: 66,67,68,69,90,91,117"
11,0.48106677100720535,2.1327552978492252,1.4603955963536817,0.9562744497720685,0.7500905348423861,"id: 25,56,57,58,63,113"
12,0.5459613308469918,2.3254293846304837,1.5249358624645444,0.9519542113380035,0.7108450289527922,"id: 6,7,72,73,74"
13,0.4746709508158061,2.151905512894208,1.4669374604577416,0.9696775119768358,0.7539562053836819,"id: 83,84,85,96,97"
14,0.6254283148977235,2.829309260152819,1.6820550704875328,0.9638317270887891,0.6802037587877086,"id: 38,45,109,115"
15,0.6628897010329216,2.5611149404198135,1.600348380953289,0.9292544203355209,0.6623640664283129,"id: 3,24,30,31,77"
16,0.6622865485939187,2.9509641631142296,1.717837059535691,0.9621235809095277,0.6623158470425657,"id: 42,50,87,88,101"
17,0.7904275435279094,4.112284406898979,2.0278768224177175,0.9387354352485662,0.6452117253178131,"id: 28,111,112"
18,0.7296238100769743,3.8966868630052396,1.9740027515191663,0.9180206468397472,0.6794468118928106,"id: 16,22,23,33"
19,0.47579659359465404,2.54972699861462,1.5967864599296364,0.9497479127226023,0.7654958846059816,"id: 106,107,108"
