address,station_id,latitude,longitude,name,rf_mae,rf_mse,rf_rmse,rf_r2,rf_accuracy,15m_mae,15m_mse,15m_rmse,15m_r2,30m_mae,30m_mse,30m_rmse,30m_r2,45m_mae,45m_mse,45m_rmse,45m_r2,60m_mae,60m_mse,60m_rmse,60m_r2,90m_mae,90m_mse,90m_rmse,90m_r2,120m_mae,120m_mse,120m_rmse,120m_r2
Clarendon Row,1,53.340927,-6.262501,CLARENDON ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessington Street,2,53.35677,-6.26814,BLESSINGTON STREET,0.415904086,1.219084903,1.104121779,0.947711075,0.742549547,0.7058987144754796,2.274992427838717,1.5083078027507242,0.8629435481074295,1.0988378899148723,4.711565943218231,2.170614185712936,0.715992479748825,1.5137861937539483,7.395286598367952,2.719427623300159,0.5539648215123152,1.8365982814128976,10.005911712541131,3.163212245888841,0.3961558597568304,2.415636291008442,14.665029935738534,3.8294947363508065,0.11391953120169808,2.983766487920672,19.714003794797502,4.440045472154255,-0.19263038108204955
Bolton Street,3,53.351181,-6.2698589999999985,BOLTON STREET,0.443880802,1.021001813,1.010446344,0.959904187,0.706440229,0.634370983721438,1.2176784469442716,1.1034846836020298,0.9604139287574548,0.967789042254778,2.5002701038107147,1.5812242421018958,0.9183029395206032,1.2797478044208432,3.9784532040172147,1.994606027268848,0.8693308674824106,1.5393044061463983,5.43289711968984,2.330857593181068,0.8206259684289023,1.9864819733479262,8.145354230878134,2.8540066977633627,0.7281876007526631,2.383263998067535,10.982022116234877,3.3139134141125166,0.6294898290122573
Greek Street,4,53.346874,-6.272976,GREEK STREET,0.327479968,0.8145351809999999,0.902516028,0.97233432,0.774982342,0.4461833144514092,0.8813026315988551,0.9387772001912142,0.9668312522485016,0.7184698927907478,1.71005117751235,1.3076892511267155,0.9357206599144984,0.9503145969697776,2.6111949345935077,1.6159192227934867,0.9019699046399212,1.1134930793621574,3.294627367999853,1.8151108417944768,0.8764667698024688,1.3745953990637358,4.713014022093331,2.170947724403637,0.8237254679520385,1.6346176249094897,6.163728344089688,2.48268571190348,0.7700434291366549
Charlemont Street,5,53.330662,-6.260177,CHARLEMONT PLACE,0.774871282,3.843024816,1.96036344,0.947620984,0.630365291,1.0501009170000501,4.344390016445543,2.0843200369534287,0.9279412560415524,1.6492974053703982,9.102798096301807,3.0170843701000156,0.8492092434891098,2.199337601346756,14.277093051602655,3.7785040759012896,0.7637994021024502,2.642109061944721,19.154987791983707,4.376641154125354,0.683507124707668,3.4296391817946468,28.48823162600329,5.337436802998543,0.5305085887806356,3.9910985757539432,36.9442653793296,6.078179446127731,0.3927225552695312
Christchurch Place,6,53.343369,-6.27012,CHRISTCHURCH PLACE,0.34374605700000005,0.7651838209999999,0.8747478609999999,0.95523635,0.7665968559999999,0.5911514665822374,0.9945904826693373,0.9972915735477448,0.9608142021876608,0.8931423393738116,1.977545735569572,1.4062523726449574,0.9220961565107081,1.1208174258023855,2.9342109987231564,1.7129538810847058,0.8844223311791756,1.3129872308750798,3.894849605518844,1.9735373331961177,0.8465998318175985,1.6885772436700293,5.760216748550911,2.40004515552331,0.7731775129583484,2.0240544526938082,7.910441845284343,2.8125507720367193,0.6885633586349966
High Street,7,53.34356700000001,-6.275071,HIGH STREET,0.324052989,1.266485467,1.125382365,0.965988874,0.80178261,0.467286171505964,0.9348103424317621,0.9668559057231652,0.9535565523771876,0.7921881224250004,2.040590667959941,1.4284924458883013,0.8987738826230206,1.044603576968808,3.213416274792766,1.7926004225127157,0.8408383494789688,1.2436871173240998,4.267064695392387,2.0656874631445064,0.7889747353941671,1.5660456578442004,6.138182593163661,2.4775355886775188,0.6973716319724146,1.9033299270864,8.202505146152289,2.8640015967440187,0.5968404122459788
Custom House Quay,8,53.347885,-6.248048000000002,CUSTOM HOUSE QUAY,0.5115250179999999,1.709002469,1.307288212,0.968409062,0.70501821,0.9276864157265698,2.668474551687246,1.6335466175433273,0.9471399986404554,1.4597627148516403,5.431316813512548,2.330518571801681,0.8925944791438774,1.863883901464524,7.813629961595447,2.7952870982415114,0.8457481424320058,2.1845342662065947,10.136961196092276,3.1838594812102303,0.8002254483996085,2.7371240737810805,14.683336447138693,3.8318841902044336,0.7116214711332671,3.230082518105013,19.198282882687376,4.381584517350701,0.6242480919626561
Exchequer Street,9,53.343033,-6.263578,EXCHEQUER STREET,0.951544858,4.909698344,2.215783912,0.908770741,0.5926792989999999,1.6453175476009083,9.170159892094617,3.028227186340981,0.7904565544043277,2.64094589633862,18.619019810996605,4.314976223688446,0.5744831562787291,3.4578001718866176,27.22054366303365,5.217331086200458,0.3778106113921745,4.0983071063059455,35.108306310395086,5.925226266599032,0.19738980188021804,4.9572309054617545,46.008120641599824,6.78292861834767,-0.05214787020885492,5.3005843460864766,52.17230545047329,7.22303990370213,-0.1935557687645129
Dame Street,10,53.34400600000001,-6.266801999999998,DAME STREET,0.5820742010000001,1.919799192,1.385568184,0.925139864,0.6749112279999999,0.8884713890610331,2.715762407214625,1.6479570404639268,0.8577010095038317,1.3614620260345365,5.708866354148157,2.3893234092830875,0.701388354263974,1.7606859254676843,8.253854737461412,2.8729522685665017,0.5690179369234827,2.0784814472006707,10.457594674794338,3.233820445663973,0.4548972461458849,2.4643789172224952,13.778869928183804,3.7119900226406592,0.284277603638039,2.7610808529555078,16.348829984282556,4.0433686431344045,0.15375364121679602
