Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Dublin Hill, Thurles, Ireland",12/10/2020 00:00:00,7.6,7.6,7.6,6.4,,0,,,4.5,328,8.2,1.2,100,97.36,Overcast
"Dublin Hill, Thurles, Ireland",12/10/2020 00:05:00,7.9,7.9,7.9,6.9,,0.04,,,4.2,329,8.8,,,96.79,Rain
"Dublin Hill, Thurles, Ireland",12/10/2020 00:10:00,7.8,7.8,7.8,6.9,,0,,,3.8,327,8,,,96.64,Clear
"Dublin Hill, Thurles, Ireland",12/10/2020 00:15:00,7.8,7.8,7.8,6.9,,0,,,3.9,317,7.9,,,97.11,Clear
"Dublin Hill, Thurles, Ireland",12/10/2020 00:20:00,7.8,7.8,7.8,6.8,,0,,,4.1,322,8.6,,,97.02,Clear
"Dublin Hill, Thurles, Ireland",12/10/2020 00:25:00,7.9,7.9,7.9,6.7,,0.12,,,4.7,329,8,,,97.17,Rain
"Dublin Hill, Thurles, Ireland",12/10/2020 00:30:00,7.9,7.9,7.9,7.2,,0,,,3.4,330,7.3,,,97.96,Clear
"Dublin Hill, Thurles, Ireland",12/10/2020 00:35:00,7.9,7.9,7.9,6.8,,0,,,4.4,324,7.9,,,96.63,Clear
"Dublin Hill, Thurles, Ireland",12/10/2020 00:40:00,7.8,7.8,7.8,6.6,,0,,,4.5,319,8.1,,,96.48,Clear
"Dublin Hill, Thurles, Ireland",12/10/2020 00:45:00,7.8,7.8,7.8,6.7,,0.08,,,4.2,319,7.9,,,97,Rain
"Dublin Hill, Thurles, Ireland",12/10/2020 00:50:00,8,8,8,6.8,,0,,,4.6,328,8.8,,,96.28,Clear
"Dublin Hill, Thurles, Ireland",12/10/2020 00:55:00,8.1,8.1,8.1,6.8,,0,,,5,328,9.2,,,96.41,Clear
"Dublin Hill, Thurles, Ireland",12/10/2020 01:00:00,7.7,7.7,7.7,6.1,,0.13,,,5.6,321,8.8,9.9,100,97.5,"Rain, Overcast"
"Dublin Hill, Thurles, Ireland",12/10/2020 01:05:00,8,8,8,6.4,,0,,,5.5,317,11.2,,,96.9,Clear
"Dublin Hill, Thurles, Ireland",12/10/2020 01:10:00,7.9,7.9,7.9,6.5,,0,,,5.1,323,11.3,,,96.76,Clear
"Dublin Hill, Thurles, Ireland",12/10/2020 01:15:00,7.9,7.9,7.9,6.7,,0.11,,,4.6,325,10,,,97.61,Rain
"Dublin Hill, Thurles, Ireland",12/10/2020 01:20:00,7.9,7.9,7.9,6.3,,0,,,5.5,331,10.9,,,97.04,Clear
"Dublin Hill, Thurles, Ireland",12/10/2020 01:25:00,8,8,8,6.3,,0.09,,,6,323,12.2,,,97.19,Rain
